country,year,matrix,organism,antibiotic,percent_resistant,n_isolates,antibiotic_class,matrix_group
Austria,2023,bovine_meat,E. coli (ESBL/AmpC),AmpC_PHENO,0.0,317.0,Other,meat
Austria,2023,bovine_meat,E. coli (ESBL/AmpC),ESBL_AmpC_PHENO,1.26,317.0,Other,meat
Austria,2023,bovine_meat,E. coli (ESBL/AmpC),ESBL_PHENO,2.52,317.0,Other,meat
Austria,2023,cattle,C. coli,CHL,0.0,6.0,Phenicols,animal
Austria,2023,cattle,C. coli,CIP,83.3,6.0,Fluoroquinolones,animal
Austria,2023,cattle,C. coli,ERY,0.0,6.0,Macrolides,animal
Austria,2023,cattle,C. coli,ETP,66.7,6.0,Carbapenems,animal
Austria,2023,cattle,C. coli,GEN,0.0,6.0,Aminoglycosides,animal
Austria,2023,cattle,C. coli,TET,83.3,6.0,Tetracyclines,animal
Austria,2023,cattle,C. jejuni,CHL,0.0,104.0,Phenicols,animal
Austria,2023,cattle,C. jejuni,CIP,57.7,104.0,Fluoroquinolones,animal
Austria,2023,cattle,C. jejuni,ERY,0.0,104.0,Macrolides,animal
Austria,2023,cattle,C. jejuni,ETP,4.8,104.0,Carbapenems,animal
Austria,2023,cattle,C. jejuni,GEN,0.0,104.0,Aminoglycosides,animal
Austria,2023,cattle,C. jejuni,TET,44.2,104.0,Tetracyclines,animal
Austria,2023,cattle,E. coli,AMK,0.0,181.0,Aminoglycosides,animal
Austria,2023,cattle,E. coli,AMP,6.6,181.0,Penicillins,animal
Austria,2023,cattle,E. coli,AZM,0.0,181.0,Macrolides,animal
Austria,2023,cattle,E. coli,CAZ,1.1,181.0,Cephalosporins,animal
Austria,2023,cattle,E. coli,CHL,2.8,181.0,Phenicols,animal
Austria,2023,cattle,E. coli,CIP,2.8,181.0,Fluoroquinolones,animal
Austria,2023,cattle,E. coli,COL,0.0,181.0,Polymyxins,animal
Austria,2023,cattle,E. coli,CTX,1.1,181.0,Cephalosporins,animal
Austria,2023,cattle,E. coli,GEN,0.0,181.0,Aminoglycosides,animal
Austria,2023,cattle,E. coli,MEM,0.0,181.0,Carbapenems,animal
Austria,2023,cattle,E. coli,NAL,1.7,181.0,Quinolones,animal
Austria,2023,cattle,E. coli,SMX,9.4,181.0,Sulfonamides,animal
Austria,2023,cattle,E. coli,TET,13.3,181.0,Tetracyclines,animal
Austria,2023,cattle,E. coli,TGC,0.0,181.0,Tetracyclines,animal
Austria,2023,cattle,E. coli,TMP,5.5,181.0,Trimethoprim,animal
Austria,2023,cattle,E. coli (ESBL/AmpC),AmpC_PHENO,3.99,276.0,Other,animal
Austria,2023,cattle,E. coli (ESBL/AmpC),ESBL_AmpC_PHENO,13.95,276.0,Other,animal
Austria,2023,cattle,E. coli (ESBL/AmpC),ESBL_PHENO,23.91,276.0,Other,animal
Austria,2023,cattle,S. Typhimurium,AMK,0.0,2.0,Aminoglycosides,animal
Austria,2023,cattle,S. Typhimurium,AMP,0.0,2.0,Penicillins,animal
Austria,2023,cattle,S. Typhimurium,AZM,0.0,2.0,Macrolides,animal
Austria,2023,cattle,S. Typhimurium,CAZ,0.0,2.0,Cephalosporins,animal
Austria,2023,cattle,S. Typhimurium,CHL,0.0,2.0,Phenicols,animal
Austria,2023,cattle,S. Typhimurium,CIP,0.0,2.0,Fluoroquinolones,animal
Austria,2023,cattle,S. Typhimurium,COL,0.0,2.0,Polymyxins,animal
Austria,2023,cattle,S. Typhimurium,CTX,0.0,2.0,Cephalosporins,animal
Austria,2023,cattle,S. Typhimurium,GEN,0.0,2.0,Aminoglycosides,animal
Austria,2023,cattle,S. Typhimurium,MEM,0.0,2.0,Carbapenems,animal
Austria,2023,cattle,S. Typhimurium,NAL,0.0,2.0,Quinolones,animal
Austria,2023,cattle,S. Typhimurium,SMX,0.0,2.0,Sulfonamides,animal
Austria,2023,cattle,S. Typhimurium,TET,0.0,2.0,Tetracyclines,animal
Austria,2023,cattle,S. Typhimurium,TGC,0.0,2.0,Tetracyclines,animal
Austria,2023,cattle,S. Typhimurium,TMP,0.0,2.0,Trimethoprim,animal
Austria,2023,cattle,Salmonella spp.,AMK,0.0,4.0,Aminoglycosides,animal
Austria,2023,cattle,Salmonella spp.,AMP,0.0,4.0,Penicillins,animal
Austria,2023,cattle,Salmonella spp.,AZM,0.0,4.0,Macrolides,animal
Austria,2023,cattle,Salmonella spp.,CAZ,0.0,4.0,Cephalosporins,animal
Austria,2023,cattle,Salmonella spp.,CHL,0.0,4.0,Phenicols,animal
Austria,2023,cattle,Salmonella spp.,CIP,0.0,4.0,Fluoroquinolones,animal
Austria,2023,cattle,Salmonella spp.,COL,0.0,4.0,Polymyxins,animal
Austria,2023,cattle,Salmonella spp.,CTX,0.0,4.0,Cephalosporins,animal
Austria,2023,cattle,Salmonella spp.,GEN,0.0,4.0,Aminoglycosides,animal
Austria,2023,cattle,Salmonella spp.,MEM,0.0,4.0,Carbapenems,animal
Austria,2023,cattle,Salmonella spp.,NAL,0.0,4.0,Quinolones,animal
Austria,2023,cattle,Salmonella spp.,SMX,0.0,4.0,Sulfonamides,animal
Austria,2023,cattle,Salmonella spp.,TET,0.0,4.0,Tetracyclines,animal
Austria,2023,cattle,Salmonella spp.,TGC,0.0,4.0,Tetracyclines,animal
Austria,2023,cattle,Salmonella spp.,TMP,0.0,4.0,Trimethoprim,animal
Austria,2023,pig_meat,E. coli (ESBL/AmpC),AmpC_PHENO,0.31,321.0,Other,meat
Austria,2023,pig_meat,E. coli (ESBL/AmpC),ESBL_AmpC_PHENO,2.335,321.0,Other,meat
Austria,2023,pig_meat,E. coli (ESBL/AmpC),ESBL_PHENO,4.36,321.0,Other,meat
Austria,2023,pigs,C. coli,CHL,0.0,180.0,Phenicols,animal
Austria,2023,pigs,C. coli,CIP,60.6,180.0,Fluoroquinolones,animal
Austria,2023,pigs,C. coli,ERY,3.9,180.0,Macrolides,animal
Austria,2023,pigs,C. coli,ETP,11.1,180.0,Carbapenems,animal
