country,matrix_group,organism,mean_pct,std_pct,max_pct,n_ab,embed_x,embed_y,cluster_id,cluster_method,embed_method
Austria,animal,C. coli,34.28333333333334,37.245971817992164,74.95,6,5.619253,9.945734,2,HDBSCAN,UMAP
Austria,animal,C. jejuni,23.69583333333333,34.98556279619733,77.1,6,1.7292769,11.446242,2,HDBSCAN,UMAP
Austria,animal,E. coli,8.203333333333333,9.511191090099123,23.5,15,6.1837835,2.9889288,1,HDBSCAN,UMAP
Austria,animal,E. coli (ESBL/AmpC),16.045,11.0025,27.0475,3,16.492512,5.0862513,0,HDBSCAN,UMAP
Austria,animal,S. Derby,13.333333333333334,35.18657752744984,100.0,15,6.060137,5.526428,1,HDBSCAN,UMAP
Austria,animal,S. Enteritidis,4.938271604938271,8.650652761124231,24.085185185185185,15,3.8184295,3.807711,1,HDBSCAN,UMAP
Austria,animal,S. Infantis,11.557732426303856,16.65643603589831,38.559863945578236,15,4.8874793,4.353964,1,HDBSCAN,UMAP
Austria,animal,S. Typhimurium,0.0,0.0,0.0,15,-0.014733335,-3.1008034,-1,HDBSCAN,UMAP
Austria,animal,S. Typhimurium (mono),20.0,41.403933560541255,100.0,15,7.2307477,7.263256,1,HDBSCAN,UMAP
Austria,animal,Salmonella spp.,8.109639751552795,10.310785936802027,29.7727950310559,15,5.3674088,3.4970095,1,HDBSCAN,UMAP
Austria,human,C. coli,34.875,40.96546309596251,85.4,4,3.9860253,10.429823,2,HDBSCAN,UMAP
Austria,human,C. jejuni,31.875,37.76430192655492,74.6,4,3.8152142,10.555784,2,HDBSCAN,UMAP
Austria,human,S. Enteritidis,6.838461538461538,12.391767324958028,33.9,13,3.8620903,3.8883102,1,HDBSCAN,UMAP
Austria,human,S. Infantis,28.199999999999996,32.18990524993822,76.2,13,4.7074237,5.668075,1,HDBSCAN,UMAP
Austria,human,S. Kentucky,56.04615384615385,29.435568489629894,85.7,13,9.051682,4.9484687,1,HDBSCAN,UMAP
Austria,human,S. Typhimurium,5.876923076923077,7.028175894942898,18.1,13,5.283794,2.7106063,1,HDBSCAN,UMAP
Austria,human,S. Typhimurium (mono),14.976923076923079,23.971863849318357,59.4,13,6.5625305,6.218992,1,HDBSCAN,UMAP
Austria,human,Salmonella spp.,7.976923076923078,8.800393347852303,23.5,13,4.859647,3.1369004,1,HDBSCAN,UMAP
Austria,meat,E. coli (ESBL/AmpC),8.02375,5.02125,13.045,3,16.465923,3.93009,0,HDBSCAN,UMAP
Belgium,animal,C. coli,37.97777777777778,33.83294690529184,85.53333333333335,6,5.3353715,9.426563,2,HDBSCAN,UMAP
Belgium,animal,C. jejuni,24.099999999999998,31.176481520530825,67.0,6,1.7495353,11.347402,2,HDBSCAN,UMAP
Belgium,animal,E. coli,15.753333333333334,17.463816561361636,47.800000000000004,15,7.92677,4.5034866,1,HDBSCAN,UMAP
Belgium,animal,E. coli (ESBL/AmpC),24.891666666666662,21.031666666666663,45.923333333333325,3,16.29644,5.316856,0,HDBSCAN,UMAP
Belgium,animal,E. faecalis,24.616402116402124,35.08470077266244,100.0,12,5.2304153,9.005316,2,HDBSCAN,UMAP
Belgium,animal,E. faecium,16.148156103252433,27.58979961201665,81.54980473834941,12,5.4746227,8.827604,2,HDBSCAN,UMAP
Belgium,animal,S. Derby,8.879999999999999,10.446475824068953,33.3,15,6.6182785,2.9938302,1,HDBSCAN,UMAP
Belgium,animal,S. Enteritidis,1.4822222222222223,4.088385924897437,15.566666666666668,15,3.8325963,2.8242214,1,HDBSCAN,UMAP
Belgium,animal,S. Infantis,31.313131313131315,34.978426413997035,81.81818181818183,15,5.169471,5.6946063,1,HDBSCAN,UMAP
