country,year,organism,antibiotic,pct_resistant,total_isolates,source_type,source
Austria,2015,E. coli,AMP,12.9,0,animal_pig,EFSA
Belgium,2015,E. coli,AMP,35.5,0,animal_pig,EFSA
Bulgaria,2015,E. coli,AMP,57.1,0,animal_pig,EFSA
Croatia,2015,E. coli,AMP,32.9,0,animal_pig,EFSA
Cyprus,2015,E. coli,AMP,89.1,0,animal_pig,EFSA
Czech Republic,2015,E. coli,AMP,34.8,0,animal_pig,EFSA
Denmark,2015,E. coli,AMP,31.6,0,animal_pig,EFSA
Estonia,2015,E. coli,AMP,31.8,0,animal_pig,EFSA
Finland,2015,E. coli,AMP,14.3,0,animal_pig,EFSA
France,2015,E. coli,AMP,19.5,0,animal_pig,EFSA
Germany,2015,E. coli,AMP,33.0,0,animal_pig,EFSA
Greece,2015,E. coli,AMP,57.8,0,animal_pig,EFSA
Hungary,2015,E. coli,AMP,39.4,0,animal_pig,EFSA
Ireland,2015,E. coli,AMP,25.2,0,animal_pig,EFSA
Italy,2015,E. coli,AMP,63.7,0,animal_pig,EFSA
Latvia,2015,E. coli,AMP,26.7,0,animal_pig,EFSA
Lithuania,2015,E. coli,AMP,34.8,0,animal_pig,EFSA
Malta,2015,E. coli,AMP,25.0,0,animal_pig,EFSA
Netherlands,2015,E. coli,AMP,28.9,0,animal_pig,EFSA
Norway,2015,E. coli,AMP,11.1,0,animal_pig,EFSA
Poland,2015,E. coli,AMP,35.9,0,animal_pig,EFSA
Portugal,2015,E. coli,AMP,74.7,0,animal_pig,EFSA
Romania,2015,E. coli,AMP,67.2,0,animal_pig,EFSA
Slovakia,2015,E. coli,AMP,31.8,0,animal_pig,EFSA
Slovenia,2015,E. coli,AMP,22.4,0,animal_pig,EFSA
Spain,2015,E. coli,AMP,82.4,0,animal_pig,EFSA
Sweden,2015,E. coli,AMP,20.5,0,animal_pig,EFSA
Switzerland,2015,E. coli,AMP,17.0,0,animal_pig,EFSA
United Kingdom,2015,E. coli,AMP,35.3,0,animal_pig,EFSA
Austria,2015,E. coli,AZITHROMYC,0.5,0,animal_pig,EFSA
Belgium,2015,E. coli,AZITHROMYC,4.1,0,animal_pig,EFSA
Bulgaria,2015,E. coli,AZITHROMYC,4.8,0,animal_pig,EFSA
Croatia,2015,E. coli,AZITHROMYC,1.4,0,animal_pig,EFSA
Cyprus,2015,E. coli,AZITHROMYC,45.5,0,animal_pig,EFSA
Czech Republic,2015,E. coli,AZITHROMYC,1.1,0,animal_pig,EFSA
Denmark,2015,E. coli,AZITHROMYC,0.6,0,animal_pig,EFSA
Estonia,2015,E. coli,AZITHROMYC,1.2,0,animal_pig,EFSA
Finland,2015,E. coli,AZITHROMYC,0.3,0,animal_pig,EFSA
France,2015,E. coli,AZITHROMYC,0.5,0,animal_pig,EFSA
Germany,2015,E. coli,AZITHROMYC,2.4,0,animal_pig,EFSA
Greece,2015,E. coli,AZITHROMYC,2.6,0,animal_pig,EFSA
Hungary,2015,E. coli,AZITHROMYC,0.6,0,animal_pig,EFSA
Ireland,2015,E. coli,AZITHROMYC,1.4,0,animal_pig,EFSA
Italy,2015,E. coli,AZITHROMYC,1.8,0,animal_pig,EFSA
Latvia,2015,E. coli,AZITHROMYC,1.5,0,animal_pig,EFSA
Lithuania,2015,E. coli,AZITHROMYC,2.2,0,animal_pig,EFSA
Netherlands,2015,E. coli,AZITHROMYC,1.0,0,animal_pig,EFSA
Norway,2015,E. coli,AZITHROMYC,0.8,0,animal_pig,EFSA
Portugal,2015,E. coli,AZITHROMYC,14.6,0,animal_pig,EFSA
Romania,2015,E. coli,AZITHROMYC,7.8,0,animal_pig,EFSA
Slovakia,2015,E. coli,AZITHROMYC,1.2,0,animal_pig,EFSA
Slovenia,2015,E. coli,AZITHROMYC,1.2,0,animal_pig,EFSA
Spain,2015,E. coli,AZITHROMYC,2.9,0,animal_pig,EFSA
Sweden,2015,E. coli,AZITHROMYC,0.5,0,animal_pig,EFSA
Switzerland,2015,E. coli,AZITHROMYC,0.5,0,animal_pig,EFSA
United Kingdom,2015,E. coli,AZITHROMYC,1.2,0,animal_pig,EFSA
Austria,2015,E. coli,C3G,2.5,0,animal_pig,EFSA
Belgium,2015,E. coli,C3G,1.1,0,animal_pig,EFSA
Cyprus,2015,E. coli,C3G,5.5,0,animal_pig,EFSA
Czech Republic,2015,E. coli,C3G,2.1,0,animal_pig,EFSA
Denmark,2015,E. coli,C3G,0.7,0,animal_pig,EFSA
Estonia,2015,E. coli,C3G,1.2,0,animal_pig,EFSA
France,2015,E. coli,C3G,0.5,0,animal_pig,EFSA
Germany,2015,E. coli,C3G,3.3,0,animal_pig,EFSA
Greece,2015,E. coli,C3G,5.2,0,animal_pig,EFSA
Hungary,2015,E. coli,C3G,1.2,0,animal_pig,EFSA
Ireland,2015,E. coli,C3G,0.7,0,animal_pig,EFSA
Italy,2015,E. coli,C3G,0.6,0,animal_pig,EFSA
Netherlands,2015,E. coli,C3G,0.3,0,animal_pig,EFSA
Norway,2015,E. coli,C3G,0.7,0,animal_pig,EFSA
Poland,2015,E. coli,C3G,4.1,0,animal_pig,EFSA
Portugal,2015,E. coli,C3G,5.1,0,animal_pig,EFSA
Romania,2015,E. coli,C3G,1.5,0,animal_pig,EFSA
Spain,2015,E. coli,C3G,0.6,0,animal_pig,EFSA
Sweden,2015,E. coli,C3G,1.0,0,animal_pig,EFSA
Switzerland,2015,E. coli,C3G,0.5,0,animal_pig,EFSA
Austria,2015,E. coli,CEFTAZIDIM,1.8,0,animal_pig,EFSA
Belgium,2015,E. coli,CEFTAZIDIM,1.1,0,animal_pig,EFSA
Cyprus,2015,E. coli,CEFTAZIDIM,5.5,0,animal_pig,EFSA
Czech Republic,2015,E. coli,CEFTAZIDIM,1.6,0,animal_pig,EFSA
Estonia,2015,E. coli,CEFTAZIDIM,1.2,0,animal_pig,EFSA
France,2015,E. coli,CEFTAZIDIM,0.5,0,animal_pig,EFSA
Germany,2015,E. coli,CEFTAZIDIM,3.3,0,animal_pig,EFSA
Greece,2015,E. coli,CEFTAZIDIM,5.2,0,animal_pig,EFSA
Hungary,2015,E. coli,CEFTAZIDIM,1.2,0,animal_pig,EFSA
Ireland,2015,E. coli,CEFTAZIDIM,0.7,0,animal_pig,EFSA
Italy,2015,E. coli,CEFTAZIDIM,1.8,0,animal_pig,EFSA
Netherlands,2015,E. coli,CEFTAZIDIM,0.3,0,animal_pig,EFSA
Norway,2015,E. coli,CEFTAZIDIM,0.4,0,animal_pig,EFSA
Poland,2015,E. coli,CEFTAZIDIM,4.7,0,animal_pig,EFSA
Portugal,2015,E. coli,CEFTAZIDIM,5.1,0,animal_pig,EFSA
Romania,2015,E. coli,CEFTAZIDIM,1.5,0,animal_pig,EFSA
Spain,2015,E. coli,CEFTAZIDIM,0.6,0,animal_pig,EFSA
